geometry,edit,control,delta,rho,seed,status,regime,support_norm,frac_within,decay_length,residual_fraction,floored_fraction,converged,n_iters,energy_final,pin_path,error_msg
bar,static_far,mask,-0.02,64.0,1,ok,contained,0.19687737464143318,0.6181157348517716,1.067304463948799,0.32572772369363273,0.0,False,100,0.0766201474417528,,
bar,static_far,mask,-0.02,64.0,2,ok,contained,0.20100304377494652,0.6096240165921601,1.1264624266804732,0.33085031697470385,0.0,False,100,0.057268304369095434,,
bar,static_far,mask,0.0,64.0,0,ok,contained,0.19886968118865095,0.607500774874794,0.9801579611671619,0.3206666715875707,0.0,False,100,0.07115544796259987,,
bar,static_far,mask,0.0,64.0,1,ok,contained,0.1963089757813191,0.612274940202108,1.0058233736515871,0.31949128079774464,0.0,False,100,0.09549406482039186,,
bar,static_far,mask,0.0,64.0,2,ok,contained,0.20109199630663238,0.6011465162442979,1.0562230798432333,0.3277082204812931,0.0,False,100,0.0720748542449523,,
bar,static_far,mask,0.02,64.0,0,ok,contained,0.20133688308222095,0.5917217647413265,0.9139455585254619,0.3310999478870093,0.0,False,100,0.08666055704312742,,
bar,static_far,mask,0.02,64.0,1,ok,contained,0.19837108320028804,0.5987013627610468,0.9422139708634887,0.32780444645065115,0.0,False,100,0.11737549805873243,,
bar,static_far,mask,0.02,64.0,2,ok,contained,0.20413955891118352,0.5832414728827379,0.9847652412729253,0.3402030575279692,0.0,False,100,0.08811135888500432,,
bar,static_far,mask,0.04,64.0,0,ok,contained,0.20735476505945002,0.571343902931606,0.8520577855733596,0.3714106641746532,0.0,False,100,0.10632591767771862,,
bar,static_far,mask,0.04,64.0,1,ok,contained,0.20472246846071346,0.5782643438834421,0.8989420961536978,0.36976978887138606,0.0,False,100,0.1468130634418791,,
bar,static_far,mask,0.04,64.0,2,ok,contained,0.20881939564696286,0.5676776117062067,0.9368077881927509,0.37287453542743115,0.0,False,100,0.10519819689057346,,
blob,static_far,mask,-0.04,0.25,0,ok,contained,0.1882836382462239,0.6834146534551726,2.400748383495283,0.34073534746590706,0.0,True,23,3.362553092378339,,
blob,static_far,mask,-0.04,0.25,1,ok,contained,0.18197784411143603,0.6984858391860522,2.365311104187967,0.3148486968073507,0.0,True,26,2.4447718031934524,,
blob,static_far,mask,-0.04,0.25,2,ok,contained,0.1848282720053448,0.6986546093022062,2.3697659876148194,0.3222270114935741,0.0,True,40,2.9284250166572896,,
blob,static_far,mask,-0.02,0.25,0,ok,contained,0.18945040974348518,0.6804000397195026,2.416859072052243,0.3507986727936512,0.0,True,23,3.3012506762472693,,
blob,static_far,mask,-0.02,0.25,1,ok,contained,0.18268146126178994,0.6957624632557081,2.3747809273245095,0.3198518192576355,0.0,True,26,2.4158195310675,,
blob,static_far,mask,-0.02,0.25,2,ok,contained,0.18548067165322982,0.6960097803805716,2.3790971515009387,0.32720967355823616,0.0,True,40,2.8982485450340665,,
