geometry,edit,K,gamma_norm,seed,status,regime,support_norm,frac_within,decay_length,residual_fraction,floored_fraction,is_degenerate,kernel_live,n_edges,converged,energy_final,error_msg
bar,static_far,4,50.0,0,ok,contained,0.21533270202463678,0.5586236493687011,1.2304865457946195,0.416248496044153,0.45103977387441957,False,True,4953,False,5.495611039167704e-08,
bar,static_far,4,50.0,1,ok,contained,0.2177302725380465,0.5552754431865343,1.299321260598084,0.4617764969060583,0.44676158010828154,False,True,4987,False,2.819014027103357e-07,
bar,static_far,4,50.0,2,ok,contained,0.2216522335619086,0.5469411524705926,1.555237467544106,0.47656610076941225,0.4393817743877961,False,True,4982,False,4.3106810822925325e-07,
bar,static_far,6,1.0,0,ok,contained,0.21615317364023676,0.5730155697062831,1.4256188564749825,0.4385530500724924,0.0,False,True,7254,True,0.13124341514363191,
bar,static_far,6,1.0,1,ok,contained,0.21313627669125979,0.5774437269427074,1.3915035193509546,0.43703373865810047,0.0,False,True,7281,True,0.1594219649590582,
bar,static_far,6,1.0,2,ok,contained,0.21485094302188498,0.5751660462668994,1.4444093763792687,0.42497484731510177,0.0,False,True,7237,True,0.12900153839885134,
bar,static_far,6,2.0,0,ok,contained,0.21593849516382568,0.5738845540173874,1.422114522592229,0.43716486456829046,0.0,False,True,7254,True,0.07221553318102418,
bar,static_far,6,2.0,1,ok,contained,0.21314652296052625,0.5776098278604339,1.3929306964028372,0.4372338135621552,0.0,False,True,7281,True,0.08924901403163489,
bar,static_far,6,2.0,2,ok,contained,0.21474791187332518,0.5760706501185195,1.4508841116870723,0.42455594473903047,0.0,False,True,7237,True,0.07079630348123375,
bar,static_far,6,3.0,0,ok,contained,0.21571743209158437,0.5747416787615994,1.4182212346449563,0.4356817845670931,0.0,False,True,7254,True,0.04039934175978358,
bar,static_far,6,3.0,1,ok,contained,0.21313886163483098,0.5778624555065137,1.3938348523049469,0.437281241044275,0.0,False,True,7281,True,0.050755307330311215,
bar,static_far,6,3.0,2,ok,contained,0.2147136410615141,0.5766983988569186,1.4576675152245895,0.4245807853305399,0.0,False,True,7237,True,0.03965403369772618,
bar,static_far,6,5.0,0,ok,contained,0.2152789263887902,0.5762852017540224,1.4093823551019231,0.43256774925324065,0.0,False,True,7254,True,0.013359967850883859,
bar,static_far,6,5.0,1,ok,contained,0.21315498360786897,0.5783420697986951,1.3960587406914469,0.43763615978525633,0.0,False,True,7281,True,0.017114918117570075,
bar,static_far,6,5.0,2,ok,contained,0.21484675674009696,0.5772007352128133,1.4728218671795572,0.42598617576139713,0.0,False,True,7237,False,0.013205039217242679,
bar,static_far,6,20.0,0,ok,contained,0.21412467119801032,0.5711427690648886,1.3005655363798614,0.4149074978019478,0.057761235180590016,False,True,7254,False,4.246844841875535e-05,
